timestep,episode,reward,length
1073,0,-8.099999999999998,50
1123,1,-7.499999999999998,50
1173,2,-8.099999999999998,50
1223,3,-8.099999999999998,50
1273,4,-8.7,50
1323,5,-6.299999999999999,50
1373,6,-7.499999999999998,50
1423,7,-5.099999999999998,50
1473,8,-6.299999999999999,50
1523,9,-8.7,50
1573,10,-5.699999999999998,50
1623,11,-8.099999999999998,50
1673,12,-8.7,50
1723,13,-8.099999999999998,50
1773,14,-8.099999999999998,50
1823,15,-8.7,50
1873,16,-7.499999999999998,50
1923,17,-7.499999999999998,50
1973,18,-6.299999999999999,50
2023,19,-9.299999999999999,50
2073,20,-8.7,50
2123,21,-6.299999999999999,50
2173,22,-8.099999999999998,50
2223,23,-8.099999999999998,50
2273,24,-5.699999999999998,50
2323,25,-6.899999999999999,50
2373,26,-7.499999999999998,50
2423,27,-7.499999999999998,50
2473,28,-8.099999999999998,50
2523,29,-6.299999999999999,50
2573,30,-7.499999999999998,50
2623,31,-6.299999999999999,50
2673,32,-6.899999999999999,50
2723,33,-6.899999999999999,50
2773,34,-8.099999999999998,50
2823,35,-8.099999999999998,50
2873,36,-6.299999999999999,50
2923,37,-4.499999999999998,50
2973,38,-7.499999999999998,50
3023,39,-5.099999999999998,50
3073,40,-8.099999999999998,50
3123,41,-7.499999999999998,50
3173,42,-6.299999999999999,50
3223,43,-6.899999999999999,50
3273,44,-7.499999999999998,50
3323,45,-8.099999999999998,50
3373,46,-8.099999999999998,50
3423,47,-6.899999999999999,50
3473,48,-6.899999999999999,50
3523,49,-8.7,50
3573,50,-6.899999999999999,50
3623,51,-8.099999999999998,50
3673,52,-6.899999999999999,50
3723,53,-7.499999999999998,50
3773,54,-7.499999999999998,50
3823,55,-8.099999999999998,50
3873,56,-6.899999999999999,50
3923,57,-6.899999999999999,50
3973,58,-4.499999999999998,50
4023,59,-6.299999999999999,50
4073,60,-6.299999999999999,50
4123,61,-6.299999999999999,50
4173,62,-7.499999999999998,50
4223,63,-7.499999999999998,50
4273,64,-8.099999999999998,50
4323,65,-6.899999999999999,50
4373,66,-6.899999999999999,50
4423,67,-8.099999999999998,50
4473,68,-8.099999999999998,50
4523,69,-8.7,50
4573,70,-6.899999999999999,50
4623,71,-6.299999999999999,50
4673,72,-5.699999999999998,50
4723,73,-7.499999999999998,50
4773,74,-8.099999999999998,50
4823,75,-5.699999999999998,50
4873,76,-6.299999999999999,50
4923,77,-7.499999999999998,50
4973,78,-5.699999999999998,50
5023,79,-5.099999999999998,50
5073,80,-5.699999999999998,50
5123,81,-7.499999999999998,50
5173,82,-6.899999999999999,50
5223,83,-3.299999999999998,50
5273,84,-7.499999999999998,50
5323,85,-0.8999999999999986,50
5373,86,-7.499999999999998,50
5423,87,-5.699999999999998,50
5473,88,-6.299999999999999,50
5523,89,-5.099999999999998,50
5573,90,-6.899999999999999,50
5623,91,-5.699999999999998,50
5673,92,-5.699999999999998,50
5723,93,-6.299999999999999,50
5773,94,-8.099999999999998,50
5823,95,-6.899999999999999,50
5873,96,-7.499999999999998,50
5923,97,-7.499999999999998,50
5973,98,-2.699999999999998,50
6023,99,-8.099999999999998,50
6073,100,-6.899999999999999,50
6123,101,-6.899999999999999,50
6173,102,-5.099999999999998,50
6223,103,-7.499999999999998,50
6273,104,-6.899999999999999,50
6323,105,-5.699999999999998,50
6373,106,-6.899999999999999,50
6423,107,-5.099999999999998,50
6473,108,-4.499999999999998,50
6523,109,-5.099999999999998,50
6573,110,-4.499999999999998,50
